customer,invoice_id,invoice_number,invoice_date,service_date,product_service,qbo_item,description,ship_date,ship_via,item,item_original,qty,uom,unit_price,line_amount,invoice_total,invoice_balance,pdf_path
Rochester Iron & Metal,8970,3412,2024-07-18,2024-07-18,Ferrous Sale,Ferrous Sale,Mixed Clips,2024-07-18,,Clips,Mixed Clips,18840,,0.125,2355.0,2355.0,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8970.pdf
Rochester Iron & Metal,8981,3419,2024-07-19,2024-07-19,Ferrous Sale,Ferrous Sale,Mixed Clips,2024-07-19,,Clips,Mixed Clips,22920,,0.125,2865.0,2865.0,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8981.pdf
Rochester Iron & Metal,8977,3416,2024-07-19,2024-07-19,Ferrous Sale,Ferrous Sale,Mixed Clips,2024-07-19,,Clips,Mixed Clips,22040,,0.125,2755.0,2755.0,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8977.pdf
Rochester Iron & Metal,8985,3421,2024-07-22,2024-07-22,Ferrous Sale,Ferrous Sale,Clips,2024-07-22,Kinsman,Clips,Clips,22700,,0.125,2837.5,2837.5,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8985.pdf
Rochester Iron & Metal,8994,3427,2024-07-23,2024-06-25,Ferrous Sale,Ferrous Sale,Unppd HMS,2024-07-23,,HMS,Unppd HMS,48300,,0.0719553,3475.44,3475.44,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8994.pdf
Rochester Iron & Metal,8995,3428,2024-07-24,2024-07-24,Ferrous Sale,Ferrous Sale,Clips,2024-07-24,Tinsman & Son,Clips,Clips,22200,,0.1361608,3022.77,3022.77,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8995.pdf
Rochester Iron & Metal,9007,3435,2024-07-25,2024-07-25,Ferrous Sale,Ferrous Sale,Clips,2024-07-25,Tinsman & Son,Clips,Clips,23980,,0.119309,2861.03,2861.03,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9007.pdf
Rochester Iron & Metal,9085,3456,2024-08-01,2024-08-01,Ferrous Sale,Ferrous Sale,Clips,2024-08-01,RIM,Clips,Clips,29350,,0.11,3228.5,3228.5,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9085.pdf
Rochester Iron & Metal,9145,3481,2024-08-09,2024-08-09,Ferrous Sale,Ferrous Sale,Unclean motors,2024-08-09,RIM,Shred,Unclean motors,30480,,0.1375,4191.0,4191.0,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9145.pdf
Rochester Iron & Metal,9239,3509,2024-08-19,2024-08-19,Ferrous Sale,Ferrous Sale,Busheling,2024-08-19,,Busheling,Busheling,36400,,0.1428571,5200.0,5200.0,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9239.pdf
Rochester Iron & Metal,9251,3515,2024-08-21,2024-08-21,Ferrous Sale,Ferrous Sale,Clips,2024-08-21,Tinsman  #77,Clips,Clips,22440,,0.1361609,3055.45,3055.45,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9251.pdf
Rochester Iron & Metal,9298,3522,2024-08-27,2024-08-27,Ferrous Sale,Ferrous Sale,Clips,2024-08-27,,Clips,Clips,20740,,0.136161,2823.98,2823.98,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9298.pdf
Rochester Iron & Metal,9316,3530,2024-08-30,2024-08-30,Ferrous Sale,Ferrous Sale,Clips,2024-08-30,Tinsman  #77,Clips,Clips,25640,,0.11,2820.4,2820.4,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9316.pdf
Rochester Iron & Metal,9337,3537,2024-09-03,2024-09-03,Ferrous Sale,Ferrous Sale,Busheling,,,Busheling,Busheling,13000,,0.1428569,1857.14,1857.14,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9337.pdf
Rochester Iron & Metal,9368,3540,2024-09-09,2024-09-09,Ferrous Sale,Ferrous Sale,Clips,2024-09-09,Tinsman  #77,Clips,Clips,21540,,0.1361606,2932.9,2932.9,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9368.pdf
Rochester Iron & Metal,9389,3551,2024-09-10,2024-09-10,Ferrous Sale,Ferrous Sale,Clips,2024-09-10,Tinsman  #77,Clips,Clips,11760,,0.105,1234.8,1234.8,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9389.pdf
Rochester Iron & Metal,9399,3556,2024-09-11,2024-09-11,Ferrous Sale,Ferrous Sale,Clips,2024-09-11,Tinsman  #77,Clips,Clips,26000,,0.105,2730.0,2730.0,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9399.pdf
Rochester Iron & Metal,9431,3558,2024-09-13,2024-09-12,Ferrous Sale,Ferrous Sale,Sheet Iron,2024-09-13,Tinsman  #77,Shred,Sheet Iron,22740,,0.1361605,3096.29,3096.29,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-9431.pdf
