"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"04/11/2025","Invoice","4033","Rochester Iron & Metal","05/11/2025","$0.00","$3,836.70","GreenSpark #71","May 16, 2025, 7:29 AM",
"04/10/2025","Invoice","4029","Rochester Iron & Metal","05/10/2025","$0.00","$4,669.29","GreenSpark #70","May 16, 2025, 7:29 AM",
"04/10/2025","Invoice","4028","Rochester Iron & Metal","05/10/2025","$0.00","$3,609.38","Greenspark #69","May 16, 2025, 7:29 AM",
"04/09/2025","Invoice","4026","Rochester Iron & Metal","05/09/2025","$0.00","$4,128.13","Greenspark #68","May 16, 2025, 7:29 AM",
"04/08/2025","Invoice","4021","Rochester Iron & Metal","05/08/2025","$0.00","$4,042.89","GreenSpark #67","May 16, 2025, 7:29 AM",
"04/07/2025","Invoice","4017","Rochester Iron & Metal","05/07/2025","$0.00","$6,171.87","Greenspark #66","May 9, 2025, 7:41 AM",
"04/07/2025","Payment","Batch 4437937","Rochester Iron & Metal","","$0.00","$8,832.78","","Apr 7, 2025, 8:04 AM",
"04/04/2025","Deposit","","Rochester Iron & Metal","","$0.00","$8,832.78","","May 5, 2025, 8:43 AM",
"04/04/2025","Invoice","4013","Rochester Iron & Metal","05/04/2025","$0.00","$4,631.25","Greenspark #65","May 9, 2025, 7:41 AM",
"04/03/2025","Invoice","4010","Rochester Iron & Metal","05/03/2025","$0.00","$3,810.60","GreenSpark #64","May 9, 2025, 7:41 AM",
"03/31/2025","Invoice","4004","Rochester Iron & Metal","04/30/2025","$0.00","$7,395.30","","May 9, 2025, 7:41 AM",
"03/28/2025","Invoice","3997","Rochester Iron & Metal","04/27/2025","$0.00","$5,414.31","GreenSpark #63","May 2, 2025, 8:24 AM",
"03/28/2025","Deposit","","Rochester Iron & Metal","","$0.00","$9,288.00","","Apr 15, 2025, 11:32 AM",
"03/28/2025","Payment","4410549","Rochester Iron & Metal","","$0.00","$9,288.00","","Mar 28, 2025, 7:45 AM",
"03/27/2025","Invoice","3994","Rochester Iron & Metal","04/26/2025","$0.00","$6,686.25","GreenSpark #62","May 2, 2025, 8:24 AM",
"03/25/2025","Invoice","3988","Rochester Iron & Metal","04/24/2025","$0.00","$9,581.25","GreenSpark #59","Apr 12, 2025, 7:32 AM",
"03/24/2025","Invoice","3981","Rochester Iron & Metal","04/23/2025","$0.00","$5,905.84","GreenSpark #57","Apr 25, 2025, 1:38 PM",
"03/21/2025","Deposit","","Rochester Iron & Metal","","$0.00","$4,877.55","","Apr 15, 2025, 11:32 AM",
"03/21/2025","Payment","4382602","Rochester Iron & Metal","","$0.00","$4,877.55","","Mar 21, 2025, 7:19 AM",
"03/19/2025","Invoice","3972","Rochester Iron & Metal","04/18/2025","$0.00","$4,491.16","Greenspark #51","Apr 25, 2025, 1:38 PM",
"03/19/2025","Invoice","3969","Rochester Iron & Metal","04/18/2025","$0.00","$5,901.39","GreenSpark #49","Apr 25, 2025, 1:38 PM",
"03/18/2025","Invoice","3964","Rochester Iron & Metal","04/17/2025","$0.00","$5,476.68","GreenSpark #47","Apr 25, 2025, 1:38 PM",
"03/18/2025","Invoice","3960","Rochester Iron & Metal","04/17/2025","$0.00","$5,625.18","GreenSpark #46","Apr 25, 2025, 1:38 PM",
"03/14/2025","Deposit","","Rochester Iron & Metal","","$0.00","$12,525.74","","Apr 15, 2025, 11:32 AM",
"03/14/2025","Invoice","3959","Rochester Iron & Metal","04/13/2025","$0.00","$4,770.35","Greenspark #45","Apr 18, 2025, 9:16 AM",
"03/14/2025","Payment","4362517","Rochester Iron & Metal","","$0.00","$12,525.74","","Mar 17, 2025, 8:06 AM",
"03/13/2025","Invoice","3956","Rochester Iron & Metal","04/12/2025","$0.00","$5,660.82","GreenSpark #44","Apr 18, 2025, 9:16 AM",
"03/13/2025","Invoice","3955","Rochester Iron & Metal","04/12/2025","$0.00","$4,915.35","GreenSpark #43","Apr 18, 2025, 9:16 AM",
"03/12/2025","Invoice","3952","Rochester Iron & Metal","04/11/2025","$0.00","$4,261.95","GreenSpark #42","Apr 12, 2025, 7:32 AM",
"03/12/2025","Invoice","3941","Rochester Iron & Metal","04/11/2025","$0.00","$4,965.84","GreenSpark #41","Apr 12, 2025, 7:32 AM",
"03/07/2025","Deposit","","Rochester Iron & Metal","","$0.00","$7,108.65","","Apr 15, 2025, 11:32 AM",
