"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"02/08/2023","Payment","157795","Oscar Winski Company","","$0.00","$8,045.74","","Feb 8, 2023, 9:27 AM",
"02/08/2023","Deposit","","","","$0.00","$9,030.74","","Feb 8, 2023, 11:21 AM",
"01/23/2023","Invoice","2024","Oscar Winski Company","02/22/2023","$0.00","$4,948.65","","Feb 8, 2023, 9:27 AM",
"01/11/2023","Invoice","1998","Oscar Winski Company","02/10/2023","$0.00","$3,097.09","","Feb 8, 2023, 9:27 AM",
"01/09/2023","Payment","157584","Oscar Winski Company","","$0.00","$2,171.26","","Jan 9, 2023, 10:32 AM",
"01/09/2023","Deposit","","","","$0.00","$16,961.98","","Jan 9, 2023, 10:45 AM",
"12/09/2022","Invoice","1944","Oscar Winski Company","01/08/2023","$0.00","$2,171.26","","Jan 9, 2023, 10:32 AM",
"12/08/2022","Payment","157440","Oscar Winski Company","","$0.00","$3,542.15","","Dec 8, 2022, 9:37 AM",
"12/08/2022","Deposit","","","","$0.00","$80,724.23","","Dec 8, 2022, 9:47 AM",
"11/23/2022","Payment","157541","Oscar Winski Company","","$0.00","$4,466.26","","Nov 23, 2022, 9:23 AM",
"11/23/2022","Payment","157541","Oscar Winski Company","","$0.00","$4,100.64","","Nov 23, 2022, 9:21 AM",
"11/23/2022","Deposit","","","","$0.00","$9,628.97","","Nov 23, 2022, 11:27 AM",
"11/10/2022","Invoice","1884","Oscar Winski Company","12/10/2022","$0.00","$3,542.15","","Dec 8, 2022, 9:37 AM",
"10/21/2022","Invoice","1837","Oscar Winski Company","11/20/2022","$0.00","$4,466.26","","Nov 23, 2022, 9:23 AM",
"10/14/2022","Invoice","1822","Oscar Winski Company","11/13/2022","$0.00","$4,100.64","","Nov 23, 2022, 9:21 AM",
"10/13/2022","Deposit","","","","$0.00","$11,587.28","","Oct 13, 2022, 10:02 AM",
"10/12/2022","Payment","157141","Oscar Winski Company","","$0.00","$3,077.26","","Oct 12, 2022, 9:07 AM",
"10/12/2022","Payment","157141","Oscar Winski Company","","$0.00","$913.40","","Oct 12, 2022, 9:06 AM",
"10/12/2022","Payment","157141","Oscar Winski Company","","$0.00","$3,613.25","","Oct 12, 2022, 9:04 AM",
"09/28/2022","Invoice","1783","Oscar Winski Company","10/28/2022","$0.00","$3,077.26","","Oct 12, 2022, 9:07 AM",
"09/16/2022","Deposit","","","","$0.00","$22,091.73","","Sep 16, 2022, 10:43 AM",
"09/15/2022","Payment","156990","Oscar Winski Company","","$0.00","$19,917.63","","Sep 15, 2022, 10:58 AM",
"09/13/2022","Invoice","1745","Oscar Winski Company","10/13/2022","$0.00","$3,613.25","","Oct 12, 2022, 9:04 AM",
"09/12/2022","Invoice","1741","Oscar Winski Company","10/12/2022","$0.00","$913.40","","Oct 12, 2022, 9:06 AM",
"08/26/2022","Invoice","1705","Oscar Winski Company","09/25/2022","$0.00","$1,459.29","","Sep 15, 2022, 10:58 AM",
"08/19/2022","Invoice","1692","Oscar Winski Company","09/18/2022","$0.00","$1,629.65","","Sep 15, 2022, 10:58 AM",
"08/18/2022","Invoice","1688","Oscar Winski Company","09/17/2022","$0.00","$4,246.37","","Sep 15, 2022, 10:58 AM",
"08/17/2022","Invoice","1684","Oscar Winski Company","09/16/2022","$0.00","$1,693.93","","Sep 15, 2022, 10:58 AM",
"08/11/2022","Invoice","1674","Oscar Winski Company","09/10/2022","$0.00","$1,520.35","","Sep 15, 2022, 10:58 AM",
"08/11/2022","Invoice","1670","Oscar Winski Company","09/10/2022","$0.00","$3,073.13","","Sep 15, 2022, 10:58 AM",
"08/11/2022","Invoice","1669","Oscar Winski Company","09/10/2022","$0.00","$3,927.59","","Sep 15, 2022, 10:58 AM",
"08/09/2022","Invoice","1663","Oscar Winski Company","09/08/2022","$0.00","$1,192.50","","Sep 15, 2022, 10:58 AM",
"08/09/2022","Invoice","1662","Oscar Winski Company","09/08/2022","$0.00","$1,174.82","","Sep 15, 2022, 10:58 AM",
"08/08/2022","Payment","156846","Oscar Winski Company","","$0.00","$3,587.50","","Aug 8, 2022, 11:29 AM",
"08/08/2022","Deposit","","","","$0.00","$10,371.62","","Aug 8, 2022, 11:33 AM",
"07/27/2022","Invoice","1625","Oscar Winski Company","08/26/2022","$0.00","$1,192.86","","Aug 8, 2022, 11:29 AM",
"07/22/2022","Invoice","1607","Oscar Winski Company","08/21/2022","$0.00","$1,073.22","","Aug 8, 2022, 11:29 AM",
"07/22/2022","Invoice","1606","Oscar Winski Company","08/21/2022","$0.00","$1,321.42","","Aug 8, 2022, 11:29 AM",
"07/11/2022","Payment","156803","Oscar Winski Company","","$0.00","$13,730.85","","Jul 11, 2022, 11:31 AM",
"07/11/2022","Deposit","","","","$0.00","$14,980.85","","Jul 11, 2022, 11:42 AM",
