"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"12/22/2021","Deposit","","Rochester Iron & Metal","","$0.00","$24,979.92","","Dec 22, 2021, 8:33 AM",
"12/22/2021","Payment","","Rochester Iron & Metal","","$0.00","$4,788.17","","Dec 22, 2021, 8:17 AM",
"12/22/2021","Payment","1221202119","Rochester Iron & Metal","","$0.00","$20,191.75","","Dec 22, 2021, 8:21 AM",
"12/21/2021","Invoice","1121","Rochester Iron & Metal","01/05/2022","$0.00","$0.00","Voided","Dec 29, 2021, 8:59 AM",
"12/15/2021","Invoice","1114","Rochester Iron & Metal","12/30/2021","$0.00","$4,788.17","","Dec 22, 2021, 8:17 AM",
"12/14/2021","Invoice","1111","Rochester Iron & Metal","12/29/2021","$0.00","$10,547.55","","Jan 4, 2022, 2:04 PM",
"12/13/2021","Invoice","1106","Rochester Iron & Metal","12/28/2021","$0.00","$9,644.20","","Jan 4, 2022, 2:03 PM",
"12/02/2021","Deposit","","Rochester Iron & Metal","","$0.00","$3,762.00","","Dec 2, 2021, 10:05 AM",
"12/02/2021","Payment","813368","Rochester Iron & Metal","","$0.00","$3,762.00","","Dec 2, 2021, 10:04 AM",
"11/18/2021","Invoice","1057","Rochester Iron & Metal","12/03/2021","$0.00","$3,762.00","","Jan 4, 2022, 2:03 PM",
"11/17/2021","Deposit","","Rochester Iron & Metal","","$0.00","$10,404.29","","Nov 17, 2021, 8:04 AM",
"11/17/2021","Payment","","Rochester Iron & Metal","","$0.00","$6,274.29","","Nov 17, 2021, 8:01 AM",
"11/17/2021","Payment","","Rochester Iron & Metal","","$0.00","$4,130.00","","Nov 17, 2021, 8:01 AM",
"11/15/2021","Invoice","1028","Rochester Iron & Metal","12/15/2021","$0.00","$4,836.00","","Jan 4, 2022, 2:02 PM",
"11/12/2021","Invoice","1034","Rochester Iron & Metal","11/27/2021","$0.00","$4,130.00","","Nov 17, 2021, 8:01 AM",
"11/10/2021","Deposit","","Rochester Iron & Metal","","$0.00","$12,920.00","","Nov 10, 2021, 8:12 AM",
"11/10/2021","Payment","","Rochester Iron & Metal","","$0.00","$7,620.80","","Nov 10, 2021, 8:07 AM",
"11/10/2021","Payment","","Rochester Iron & Metal","","$0.00","$5,299.20","","Nov 10, 2021, 8:02 AM",
"11/09/2021","Invoice","1031","Rochester Iron & Metal","11/24/2021","$0.00","$6,274.29","","Nov 17, 2021, 8:01 AM",
"11/08/2021","Payment","","Rochester Iron & Metal","","$0.00","$12,812.19","","Nov 8, 2021, 12:22 PM",
"11/05/2021","Invoice","1029","Rochester Iron & Metal","11/20/2021","$0.00","$2,784.80","","Nov 10, 2021, 8:07 AM",
"11/03/2021","Invoice","1026","Rochester Iron & Metal","12/03/2021","$0.00","$5,299.20","","Nov 10, 2021, 8:02 AM",
"10/28/2021","Invoice","1025","Rochester Iron & Metal","11/27/2021","$0.00","$7,919.33","","Nov 8, 2021, 12:22 PM",
"10/26/2021","Invoice","1023","Rochester Iron & Metal","11/25/2021","$0.00","$4,892.86","","Nov 8, 2021, 12:22 PM",
"09/20/2021","Payment","71517","Rochester Iron & Metal","","$0.00","$3,663.40","","Sep 28, 2021, 1:07 PM",
"09/20/2021","Invoice","1011","Rochester Iron & Metal","10/20/2021","$0.00","$3,663.40","","Sep 20, 2021, 3:35 PM",
"09/20/2021","Payment","","Rochester Iron & Metal","","$0.00","$3,407.25","","Sep 28, 2021, 1:07 PM",
"09/08/2021","Invoice","1005","Rochester Iron & Metal","10/08/2021","$0.00","$3,407.25","","Sep 20, 2021, 3:30 PM",
