Date,Price,Open,High,Low,Vol.,Change %
6/26/2011,"1,688.70","1,690.60","1,691.25","1,684.85",,0.08%
6/24/2011,"1,687.30","1,707.90","1,719.75","1,676.25",,-1.21%
6/23/2011,"1,707.90","1,740.25","1,745.45","1,689.35",,-1.85%
6/22/2011,"1,740.10","1,752.75","1,758.50","1,737.00",,-0.72%
6/21/2011,"1,752.80","1,737.70","1,752.80","1,736.35",,0.87%
6/20/2011,"1,737.65","1,763.30","1,768.15","1,727.35",,-1.45%
6/19/2011,"1,763.20","1,754.45","1,763.20","1,748.70",,0.30%
6/17/2011,"1,758.00","1,765.70","1,772.20","1,746.10",,-0.45%
6/16/2011,"1,766.00","1,779.45","1,785.35","1,754.20",,-0.77%
6/15/2011,"1,779.70","1,800.85","1,803.60","1,772.10",,-1.17%
6/14/2011,"1,800.80","1,805.05","1,813.00","1,788.80",,-0.33%
6/13/2011,"1,806.80","1,826.35","1,834.60","1,795.15",,-1.06%
6/12/2011,"1,826.20","1,832.00","1,832.05","1,816.75",,-0.19%
6/10/2011,"1,829.60","1,841.70","1,849.50","1,821.95",,-0.61%
6/9/2011,"1,840.75","1,830.30","1,848.50","1,820.45",,0.55%
6/8/2011,"1,830.65","1,832.25","1,836.75","1,816.95",,-0.08%
6/7/2011,"1,832.20","1,817.25","1,836.65","1,806.15",,0.83%
6/6/2011,"1,817.05","1,826.60","1,834.05","1,809.95",,-0.52%
6/5/2011,"1,826.55","1,816.05","1,828.10","1,811.85",,0.44%
6/3/2011,"1,818.55","1,817.80","1,826.55","1,806.35",,0.04%
6/2/2011,"1,817.75","1,824.95","1,829.50","1,800.90",,-0.39%
6/1/2011,"1,824.90","1,828.65","1,839.05","1,818.50",,-0.13%
5/31/2011,"1,827.25","1,804.65","1,836.85","1,799.65",,1.26%
5/30/2011,"1,804.50","1,801.25","1,805.80","1,794.60",,0.06%
5/29/2011,"1,803.35","1,805.20","1,805.20","1,798.30",,0.01%
5/27/2011,"1,803.15","1,779.80","1,803.15","1,776.35",,1.31%
5/26/2011,"1,779.75","1,781.95","1,789.80","1,764.45",,-0.14%
5/25/2011,"1,782.30","1,768.05","1,786.55","1,764.70",,0.80%
5/24/2011,"1,768.10","1,755.25","1,771.45","1,752.65",,0.73%
